Date : 2025-12-01 16:10:38
Directory : d:\PROYECTOCALENDARIO\proyectogiftcard
Total : 204 files,  31783 codes, 1465 comments, 1855 blanks, all 35103 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\seeders\RolesAndPermissionsSeeder.php                                  | PHP                |         95 |         21 |         20 |        136 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\eslint.config.js                                                                | JavaScript         |         34 |          1 |          2 |         37 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\package-lock.json                                                               | JSON               |      7,986 |          0 |          1 |      7,987 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\package.json                                                                    | JSON               |         77 |          0 |          1 |         78 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\phpunit.xml                                                                     | XML                |         35 |          0 |          1 |         36 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\public\favicon.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\public\index.php                                                                | PHP                |         10 |          4 |          7 |         21 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\public\logo.svg                                                                 | XML                |         16 |          0 |          1 |         17 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\css\app.css                                                           | PostCSS            |        123 |          0 |         21 |        144 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\app.tsx                                                            | TypeScript JSX     |         29 |          1 |          6 |         36 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\ClientesDataTable.tsx                          | TypeScript JSX     |        229 |          1 |          7 |        237 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\CreateCliente.tsx                              | TypeScript JSX     |        182 |          1 |         16 |        199 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\EditCliente.tsx                                | TypeScript JSX     |        186 |          1 |         17 |        204 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\ShowCliente.tsx                                | TypeScript JSX     |         95 |          0 |          4 |         99 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\ClientSelector.tsx                            | TypeScript JSX     |         37 |          1 |          5 |         43 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\CreateGiftCard.tsx                            | TypeScript JSX     |        123 |          1 |         11 |        135 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\DataTable.tsx                                 | TypeScript JSX     |        206 |          2 |          8 |        216 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\EditGiftCard.tsx                              | TypeScript JSX     |        156 |          1 |         15 |        172 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\QRDialog.tsx                                  | TypeScript JSX     |         92 |          1 |          5 |         98 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\ShowGiftCard.tsx                              | TypeScript JSX     |        172 |          0 |          9 |        181 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Movements\MovementsTable.tsx                            | TypeScript JSX     |        341 |          4 |         13 |        358 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\RoleGuard.tsx                                           | TypeScript JSX     |         57 |          7 |         14 |         78 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Transactions\TransactionForm.tsx                        | TypeScript JSX     |        254 |          5 |         18 |        277 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Users\UsersDataTable.tsx                                | TypeScript JSX     |        127 |          2 |          5 |        134 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\alert-error.tsx                                         | TypeScript JSX     |         23 |          0 |          2 |         25 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-content.tsx                                         | TypeScript JSX     |         22 |          0 |          4 |         26 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-header.tsx                                          | TypeScript JSX     |        238 |          2 |         11 |        251 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-logo-icon.tsx                                       | TypeScript JSX     |         12 |          0 |          2 |         14 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-logo.tsx                                            | TypeScript JSX     |         15 |          0 |          2 |         17 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-shell.tsx                                           | TypeScript JSX     |         16 |          0 |          5 |         21 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-sidebar-header.tsx                                  | TypeScript JSX     |         17 |          0 |          2 |         19 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-sidebar.tsx                                         | TypeScript JSX     |         60 |          0 |          6 |         66 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\appearance-dropdown.tsx                                 | TypeScript JSX     |         64 |          0 |          4 |         68 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\appearance-tabs.tsx                                     | TypeScript JSX     |         26 |          0 |          5 |         31 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\breadcrumbs.tsx                                         | TypeScript JSX     |         48 |          0 |          2 |         50 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\delete-user.tsx                                         | TypeScript JSX     |        112 |          0 |          9 |        121 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\heading-small.tsx                                       | TypeScript JSX     |         16 |          0 |          1 |         17 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\heading.tsx                                             | TypeScript JSX     |         16 |          0 |          1 |         17 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\icon.tsx                                                | TypeScript JSX     |         13 |          0 |          3 |         16 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\input-error.tsx                                         | TypeScript JSX     |         16 |          0 |          2 |         18 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\nav-footer.tsx                                          | TypeScript JSX     |         52 |          0 |          2 |         54 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\nav-main.tsx                                            | TypeScript JSX     |         36 |          0 |          2 |         38 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\nav-user.tsx                                            | TypeScript JSX     |         53 |          0 |          3 |         56 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\text-link.tsx                                           | TypeScript JSX     |         21 |          0 |          3 |         24 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\two-factor-recovery-codes.tsx                           | TypeScript JSX     |        154 |          0 |         11 |        165 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\two-factor-setup-modal.tsx                              | TypeScript JSX     |        315 |          0 |         24 |        339 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\alert.tsx                                            | TypeScript JSX     |         60 |          0 |          7 |         67 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\avatar.tsx                                           | TypeScript JSX     |         46 |          0 |          6 |         52 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\badge.tsx                                            | TypeScript JSX     |         41 |          0 |          6 |         47 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\breadcrumb.tsx                                       | TypeScript JSX     |         99 |          0 |         11 |        110 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\button.tsx                                           | TypeScript JSX     |         53 |          0 |          6 |         59 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\card.tsx                                             | TypeScript JSX     |         60 |          0 |          9 |         69 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\checkbox.tsx                                         | TypeScript JSX     |         27 |          0 |          4 |         31 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\code-display.tsx                                     | TypeScript JSX     |         22 |          0 |          3 |         25 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\collapsible.tsx                                      | TypeScript JSX     |         27 |          0 |          5 |         32 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\dialog.tsx                                           | TypeScript JSX     |        121 |          0 |         13 |        134 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\dropdown-menu.tsx                                    | TypeScript JSX     |        238 |          0 |         18 |        256 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\icon.tsx                                             | TypeScript JSX     |         11 |          0 |          4 |         15 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\input-otp.tsx                                        | TypeScript JSX     |         62 |          0 |          8 |         70 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\input.tsx                                            | TypeScript JSX     |         18 |          0 |          4 |         22 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\label.tsx                                            | TypeScript JSX     |         19 |          0 |          4 |         23 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\navigation-menu.tsx                                  | TypeScript JSX     |        157 |          0 |         12 |        169 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\placeholder-pattern.tsx                              | TypeScript JSX     |         17 |          0 |          4 |         21 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\select.tsx                                           | TypeScript JSX     |        167 |          0 |         13 |        180 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\separator.tsx                                        | TypeScript JSX     |         23 |          0 |          4 |         27 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\sheet.tsx                                            | TypeScript JSX     |        125 |          0 |         13 |        138 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\sidebar.tsx                                          | TypeScript JSX     |        654 |         13 |         55 |        722 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\skeleton.tsx                                         | TypeScript JSX     |         11 |          0 |          3 |         14 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\spinner.tsx                                          | TypeScript JSX     |         13 |          0 |          4 |         17 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\switch.tsx                                           | TypeScript JSX     |         35 |          0 |          3 |         38 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\table.tsx                                            | TypeScript JSX     |        104 |          0 |         11 |        115 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\toggle-group.tsx                                     | TypeScript JSX     |         65 |          0 |          7 |         72 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\toggle.tsx                                           | TypeScript JSX     |         41 |          0 |          5 |         46 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\tooltip.tsx                                          | TypeScript JSX     |         53 |          0 |          7 |         60 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\user-info.tsx                                           | TypeScript JSX     |         30 |          0 |          3 |         33 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\user-menu-content.tsx                                   | TypeScript JSX     |         73 |          0 |          5 |         78 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-appearance.tsx                                           | TypeScript JSX     |         58 |          4 |         23 |         85 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-clipboard.ts                                             | TypeScript         |         22 |          1 |         10 |         33 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-initials.tsx                                             | TypeScript JSX     |         11 |          0 |          5 |         16 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-mobile-navigation.ts                                     | TypeScript         |          6 |          1 |          2 |          9 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-mobile.tsx                                               | TypeScript JSX     |         15 |          0 |          7 |         22 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\hooks\use-two-factor-auth.ts                                       | TypeScript         |         89 |          0 |         16 |        105 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\app-layout.tsx                                             | TypeScript JSX     |         12 |          0 |          3 |         15 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\app\app-header-layout.tsx                                  | TypeScript JSX     |         16 |          0 |          2 |         18 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\layouts\app\app-sidebar-layout.tsx                                 | TypeScript JSX     |         20 |          0 |          2 |         22 |
