"filename", "language", "PHP", "JSON with Comments", "XML", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "Ignore", "JavaScript", "YAML", "comment", "blank", "total"
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\ShowCliente.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 4, 99
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\ClientSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 5, 43
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\CreateGiftCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 11, 135
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 2, 8, 216
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\EditGiftCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 1, 15, 172
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\QRDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 1, 5, 98
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\GiftCards\ShowGiftCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 9, 181
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Movements\MovementsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 4, 13, 358
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\RoleGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 7, 14, 78
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Transactions\TransactionForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 5, 18, 277
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Users\UsersDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 2, 5, 134
